Category	Field Path	Type	Status	DB Column(s)	Source Code Line	Impact
Transaction	transaction.sale_date	date	✅ WRITTEN	transactions.sale_date	303	—
Transaction	transaction.sale_price	integer	✅ WRITTEN	transactions.sale_price	303	—
Transaction	transaction.transaction_note	string	✅ WRITTEN	transactions.transaction_note	303	—
Transaction	transaction.city	string	✅ WRITTEN	transactions.city, properties.city	303, 252	—
Transaction	transaction.region	string	✅ WRITTEN	transactions.region, properties.region	303, 253	—
Property Address	property.addresses[0].display	string	✅ WRITTEN	transactions.display_address, properties.display_address	239, 304	—
Property Address	property.addresses[0].original	string	❌ IGNORED	—	—	Not stored
Property Address	property.addresses[0].components.street_number	string	❌ IGNORED	—	—	Parsed but lost
Property Address	property.addresses[0].components.street_name	string	❌ IGNORED	—	—	Parsed but lost
Property Address	property.addresses[0].components.street_suffix	string	❌ IGNORED	—	—	Parsed but lost
Property Address	property.addresses[0].components.street_direction	string	❌ IGNORED	—	—	Parsed but lost
Property Address	property.addresses[0].components.suite_type	string	❌ IGNORED	—	—	Parsed but lost
Property Address	property.addresses[0].components.suite_number	string	❌ IGNORED	—	—	Parsed but lost
Property Address	property.addresses[0].search_keys	array	❌ IGNORED	—	—	Generated for FTS, never written
Property Address	property.addresses[0].variations	array	❌ IGNORED	—	—	Address variants, never written
Property Address	property.addresses[0].geocode_string	string	❌ IGNORED	—	—	Full geocoded address, never written
Property Address	property.addresses[0].geocodable	boolean	❌ IGNORED	—	—	Flag never written
Property Address	property.addresses[0].type	string	❌ IGNORED	—	—	Always "street_address", never written
Property Location	property.city	string	(from transaction)	—	—	Duplicate, not direct
Property Location	property.region	string	(from transaction)	—	—	Duplicate, not direct
Property Location	property.postal	string	✅ WRITTEN	transactions.postal, properties.postal	304, 254	—
Seller Party	seller.parties[].name	string	✅ WRITTEN	transaction_parties.party_name, groups.display_name, group_names.name	341, 86, 97	—
Seller Contact	seller.phone	string	✅ WRITTEN	transactions.seller_phone, transaction_parties.phone, contacts.phone	306, 341, 149, 165	—
Seller Contact	seller.contacts[].name	string	✅ WRITTEN	contacts.display_name	148	—
Seller Contact	seller.contacts[].title	string	✅ WRITTEN	contacts.job_title, transaction_parties.contact_title	150, 167, 341	—
Seller Metadata	seller.trade_name	string	❌ IGNORED	—	—	Never written
Seller Metadata	seller.care_of	string	❌ IGNORED	—	—	Never written
Seller Metadata	seller.law_firms	array	❌ IGNORED	—	—	Never written
Seller Metadata	seller.companies	array	❌ IGNORED	—	—	Never written
Seller Address	seller.address.original_lines	array	❌ IGNORED	—	—	Parsed but lost (16 nested fields total)
Seller Address	seller.address.display	string	❌ IGNORED	—	—	Parsed but lost
Seller Address	seller.address.components.*	object	❌ IGNORED	—	—	Parsed but lost
Seller Address	seller.address.search_keys	array	❌ IGNORED	—	—	Parsed but lost
Seller Address	seller.address.geocode_string	string	❌ IGNORED	—	—	Parsed but lost
Seller Address	seller.address.modifiers	array	❌ IGNORED	—	—	Parsed but lost
Seller Address	seller.address.building_names	array	❌ IGNORED	—	—	Parsed but lost
Seller Address	seller.address.city	string	❌ IGNORED	—	—	Parsed but lost (critical for geo-prospecting)
Seller Address	seller.address.province	string	❌ IGNORED	—	—	Parsed but lost
Seller Address	seller.address.postal	string	❌ IGNORED	—	—	Parsed but lost (critical for geo-prospecting)
Seller Address	seller.address.country	string	❌ IGNORED	—	—	Parsed but lost
Buyer Party	buyer.parties[].name	string	✅ WRITTEN	transaction_parties.party_name, groups.display_name, group_names.name	341, 86, 97	—
Buyer Contact	buyer.phone	string	✅ WRITTEN	transactions.buyer_phone, transaction_parties.phone	306, 341	—
Buyer Contact	buyer.contacts[].name	string	✅ WRITTEN	contacts.display_name	148	—
Buyer Contact	buyer.contacts[].title	string	✅ WRITTEN	contacts.job_title, transaction_parties.contact_title	150, 167, 341	—
Buyer Metadata	buyer.trade_name	string	❌ IGNORED	—	—	Never written
Buyer Metadata	buyer.care_of	string	❌ IGNORED	—	—	Never written
Buyer Metadata	buyer.law_firms	array	❌ IGNORED	—	—	Never written
Buyer Metadata	buyer.companies	array	❌ IGNORED	—	—	Never written
